ticker,year,sector,esg_tier,total_assets,total_debt,long_term_debt,current_debt,equity,cash,ppe,revenue,net_income,interest_exp,op_cashflow,market_cap,book_value,shares_out,lev,ltd_ratio,cur_ratio,cost_debt,roa,tangibility,mb,cash_ratio,ln_assets,esg_high,post,did
MPC,2022,refining,high,89904000000.0,27909000000.0,26475000000.0,1434000000.0,27715000000.0,8625000000.0,36871000000.0,177453000000.0,14444000000.0,1198000000.0,16361000000.0,,27715000000.0,,0.3104311265349706,0.29448077949813134,0.015950347036839296,4.292522125479236,0.16066025983271046,0.410115234027407,3.243875157856756,0.09593566470902296,25.222008271316252,1,1,1
MPC,2023,refining,high,85987000000.0,28501000000.0,26093000000.0,2408000000.0,24404000000.0,5443000000.0,36345000000.0,148379000000.0,9681000000.0,1265000000.0,14117000000.0,,24404000000.0,,0.3314570807215044,0.30345284752346285,0.028004233198041566,4.4384407564646855,0.11258678637468454,0.42268017258422785,3.523479757416817,0.06330026631932734,25.177461958982974,1,1,1
MPC,2024,refining,high,78858000000.0,28758000000.0,25292000000.0,3466000000.0,17745000000.0,3210000000.0,36328000000.0,138864000000.0,3445000000.0,1308000000.0,8665000000.0,,17745000000.0,,0.3646808186867534,0.3207283978797332,0.043952420807020214,4.548299603588567,0.043686119353775144,0.4606761520708108,4.415662546523917,0.04070607928174694,25.09091460367434,1,1,1
WMB,2022,midstream,medium,48433000000.0,22929000000.0,21927000000.0,1002000000.0,11485000000.0,152000000.0,30889000000.0,10965000000.0,2049000000.0,1147000000.0,4889000000.0,,11485000000.0,,0.4734168851815911,0.45272851155204097,0.0206883736295501,5.002398709058397,0.0423058658352776,0.6377676377676378,4.217065737919024,0.00313835607953255,24.6034472365184,0,1,0
WMB,2023,midstream,medium,52627000000.0,26462000000.0,23376000000.0,3086000000.0,12402000000.0,2150000000.0,34311000000.0,10907000000.0,3276000000.0,1236000000.0,5938000000.0,,12402000000.0,,0.49857139333023237,0.44418264389001844,0.05863910160183936,4.670848764265739,0.062249415699165825,0.6519657210177285,4.243428479277536,0.040853554259220555,24.686495132977388,0,1,0
WMB,2024,midstream,medium,54532000000.0,26937000000.0,24736000000.0,2201000000.0,12436000000.0,60000000.0,38692000000.0,10503000000.0,2225000000.0,1364000000.0,4974000000.0,,12436000000.0,,0.4939668451551383,0.45318440130820126,0.04036162253355828,5.063667075026915,0.040801731093669774,0.7095283503264138,4.385011257639112,0.0011331098693446045,24.722053522270294,0,1,0
SLB,2022,equipment,low,43135000000.0,12226000000.0,10594000000.0,1632000000.0,17685000000.0,1655000000.0,7286000000.0,28091000000.0,3441000000.0,490000000.0,3720000000.0,,17685000000.0,,0.28343572504926395,0.24560102005332096,0.03783470499594297,4.00785211843612,0.07977280630578416,0.16891155674046598,2.439072660446706,0.03836791468644952,24.487600569474953,0,1,0
SLB,2023,equipment,low,47957000000.0,11965000000.0,10842000000.0,1123000000.0,20189000000.0,2900000000.0,8109000000.0,33135000000.0,4203000000.0,503000000.0,6637000000.0,,20189000000.0,,0.2494943386783994,0.22607752778530768,0.02341681089309173,4.203928123694108,0.08764101173968347,0.16908897554058844,2.375402446877012,0.06047083845945326,24.593570613022486,0,1,0
SLB,2024,equipment,low,48935000000.0,12074000000.0,11023000000.0,1051000000.0,21130000000.0,3544000000.0,8257000000.0,36289000000.0,4461000000.0,512000000.0,6602000000.0,,21130000000.0,,0.24673546541330335,0.2252579952998876,0.021477470113415754,4.2405168129865825,0.09116174517216716,0.16873403494431388,2.31590156176053,0.07242260141003372,24.613758723824194,0,1,0
HAL,2022,equipment,low,23255000000.0,8943000000.0,8719000000.0,224000000.0,7948000000.0,2346000000.0,5261000000.0,20297000000.0,1572000000.0,492000000.0,2242000000.0,,7948000000.0,,0.384562459686089,0.3749301225542894,0.009632337131799612,5.501509560550151,0.06759836594280799,0.2262309180821329,2.9258933064921995,0.10088153085357987,23.879309472781273,0,1,0
HAL,2023,equipment,low,24683000000.0,8809000000.0,8547000000.0,262000000.0,9391000000.0,2264000000.0,5988000000.0,23018000000.0,2638000000.0,395000000.0,3458000000.0,,9391000000.0,,0.3568853056759713,0.3462707126362274,0.010614593039743953,4.484050402996935,0.10687517724749827,0.24259611878620913,2.6283675859865827,0.09172304825183325,23.929380584511996,0,1,0
HAL,2024,equipment,low,25587000000.0,8602000000.0,7958000000.0,644000000.0,10506000000.0,2618000000.0,6135000000.0,22944000000.0,2501000000.0,353000000.0,3865000000.0,,10506000000.0,,0.33618634462813146,0.3110173134795013,0.025169031148630165,4.103696814694257,0.09774494860671434,0.23977019580255599,2.4354654483152482,0.10231758314769218,23.965350246951495,0,1,0
BKR,2022,equipment,low,34181000000.0,6658000000.0,5980000000.0,678000000.0,14394000000.0,2488000000.0,4538000000.0,21156000000.0,-601000000.0,252000000.0,1888000000.0,,14394000000.0,,0.19478657733828736,0.17495099616746146,0.019835581170825897,3.7849203965154703,0.0029870789880463884,0.13276381615517394,2.3746700013894677,0.07278897633188028,24.254935771081247,0,1,0
BKR,2023,equipment,low,36945000000.0,6021000000.0,5873000000.0,148000000.0,15368000000.0,2646000000.0,4892000000.0,25506000000.0,1943000000.0,216000000.0,3062000000.0,,15368000000.0,,0.16297198538367844,0.15896603058600622,0.0040059547976722155,3.587443946188341,0.052591690350521046,0.13258141589306788,2.4040213430504944,0.07161997563946407,24.332696157187023,0,1,0
BKR,2024,equipment,low,38363000000.0,6023000000.0,5970000000.0,53000000.0,16895000000.0,3364000000.0,5127000000.0,27829000000.0,2979000000.0,198000000.0,3332000000.0,,16895000000.0,,0.1570002346010479,0.1556186950968381,0.0013815395042097855,3.2873983064917818,0.07765294684982926,0.13364439694497302,2.2706717963894643,0.08768865834267393,24.37035929036875,0,1,0
